Name of Chemical,Amount (in grams),Number of Bottles,Storage,Location
cupric chloride 5%,30ml,2,hazard,cart
copper chloride,"30ml 100,000ppm",9,hazard,cart
copper chloride,"small bottle 50,000pm",8,hazard,cart
copper nitrate 0.1 m,medium bottle,3,hazard,cart
EDTA (0.1 m),medium bottle,1,hazard,cart
Aluminum Nitrate (0.1 m),medium bottle,1,hazard,cart
lead nitrate(0.1 m),medium bottle,1,hazard,cart
Iron nitrate (0.1 m),medium bottle,1,hazard,cart
Nickel Nitrate (0.1 m),medium bottle,1,hazard,cart
Sodium Bircarchonate,200g,8,hazard,woodshelf/3rd section
Sodium Bircarchonate,100g,2,hazard,woodshelf/3rd section
Sodium Bircarchonate,20g,1,hazard,woodshelf/3rd section
Sodium Bircarchonate,250ml,2,hazard,woodshelf/3rd section
Milk of Magnesia,355ml,2,None,woodshelf/3rd section
Hydrogen Peroxide,946ml,6,hazard,woodshelf/3rd section
Hydrogen Peroxide,250ml/lightbrown,2,hazard,woodshelf/3rd section
Isopropyl Alcohol,70% 946ml,4,hazard,woodshelf/3rd section
Isopropyl Alcohol,91% 946ml,1,hazard,woodshelf/3rd section
Isopropyl Alcohol,50% 473ml,1,hazard,woodshelf/3rd section
"Starch, Soluble powder",90g,3,hazard,woodshelf/3rd section
Sodium Acetate,500g,3,hazard,woodshelf/3rd section
Calcium Chloride,2Kg,1,hazard,woodshelf/3rd section
Sucrose,1Kg,1,hazard,woodshelf/3rd section
Sodium Cholirde,3Kg,1,hazard,woodshelf/3rd section
Cocoa powder,255g/226g,2,hazard,woodshelf/3rd section
Splenda,100g,1,hazard,woodshelf/3rd section
Cornstartch,medium bottle red,1,None,woodshelf/3rd section
Sodium lodide,100g,1,hazard,woodshelf/3rd section
Sodium Chloride,small / liquid,1,hazard,woodshelf/3rd section
Sodium Chloride,20g,1,hazard,woodshelf/3rd section
Sodium Chloride,5g,1,hazard,woodshelf/3rd section
Detergent Solution,Small cap bottle ,1,hazard,woodshelf/3rd section
Isopropyl Alcohol,Small cap bottle ,1,hazard,woodshelf/3rd section
Steel Shot metal,500g,14,hazard,woodshelf/4th section
Iron metal filling,500g,2,hazard,woodshelf/4th section
Aluminum,500g,1,hazard,woodshlef/4th section
Copper Shot,Very small bottle,1,hazard,woodshlef/4th section
lead shot,Very small bottle,1,hazard,woodshlef/4th section
Zinc Shot,Very small bottle,1,hazard,woodshlef/4th section
Tin,20g,1,hazard,woodshlef/4th section
Zinc metal Shot,100g,1,hazard,woodshlef/4th section
Zinc metal granular,60g,1,hazard,woodshlef/4th section
Zinc metal pieces,75g,1,none,woodshlef/4th section
Mossy Zinc,small black cap ,1,N/A,woodshlef/4th section
Sillicon Lump,20g,1,Hazard,woodshlef/4th section
Sillicon Lump,100g,1,Hazard,woodshlef/4th section
